\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s38/raw/KELT_S38_lc_083844_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Dec 21, 01:39:55 2013"               
\STOP_DATE = "Tue Dec 29, 01:51:13 2015"               
\fixlen = T
\NUMRECORDS = 989      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Fri Nov 01, 18:20:39 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456768.239996 14.56513 0.03295 
 2456768.266604 14.54989 0.03323 
 2456768.288613 14.65240 0.02381 
 2456768.305714 14.56516 0.03204 
 2456768.327617 14.47220 0.03066 
 2456768.347225 14.55311 0.03091 
 2456768.366978 14.51963 0.02979 
 2456768.388876 14.52402 0.03337 
 2456769.231646 14.52528 0.03363 
 2456769.267805 14.54035 0.02994 
 2456769.289913 14.55105 0.02638 
 2456772.286145 14.54097 0.03100 
 2456772.319072 14.52809 0.02932 
 2456772.338941 14.51169 0.03010 
 2456772.372928 14.56072 0.02923 
 2456773.227904 14.50786 0.03378 
 2456773.264208 14.59725 0.03435 
 2456773.283713 14.69858 0.03283 
 2456773.305828 14.75865 0.03209 
 2456773.325461 14.83320 0.02978 
 2456773.345212 14.87662 0.03160 
 2456773.369514 14.86853 0.03019 
 2456774.228370 14.57389 0.06891 
 2456774.265216 14.61112 0.03738 
 2456775.282465 14.49501 0.02986 
 2456775.304427 14.51751 0.02921 
 2456775.330390 14.51903 0.02859 
 2456775.352267 14.53673 0.02873 
 2456775.375113 14.50384 0.02856 
 2456776.227053 14.48239 0.03488 
 2456776.236484 14.55544 0.03467 
 2456776.260659 14.54030 0.03321 
 2456776.281877 14.53027 0.03328 
 2456776.303893 14.53284 0.03370 
 2456776.321282 14.59362 0.03038 
 2456776.341031 14.52576 0.03020 
 2456776.362980 14.49513 0.02952 
 2456777.226325 14.56530 0.04405 
 2456777.235745 14.54473 0.04286 
 2456777.262558 14.60039 0.03392 
 2456778.226050 14.49880 0.03826 
 2456778.250179 14.55246 0.03296 
 2456778.269749 14.54987 0.03011 
 2456778.291869 14.52281 0.03082 
 2456778.311511 14.54950 0.02978 
 2456778.336110 14.52031 0.02873 
 2456778.358064 14.49558 0.02866 
 2456779.224847 14.59966 0.03573 
 2456779.234262 14.53525 0.03529 
 2456779.254127 14.50397 0.03513 
 2456779.273687 14.54033 0.03402 
 2456779.295687 14.58606 0.03297 
 2456779.313068 14.54520 0.03252 
 2456779.332847 14.52064 0.03138 
 2456779.354892 14.55648 0.02991 
 2456780.223074 14.54163 0.03683 
 2456780.232536 14.51203 0.03416 
 2456780.251991 14.51820 0.03165 
 2456780.269296 14.52838 0.03080 
 2456780.289012 14.55981 0.03050 
 2456780.306381 14.54788 0.03006 
 2456780.326106 14.53153 0.02980 
 2456780.350422 14.55448 0.02901 
 2456782.271910 14.57329 0.03283 
 2456782.287130 14.61504 0.02984 
 2456782.302189 14.47241 0.03216 
 2456782.319666 14.50045 0.02969 
 2456783.222644 14.49786 0.03859 
 2456783.231944 14.47846 0.03810 
 2456783.246657 14.48266 0.03663 
 2456783.261381 14.46345 0.03667 
 2456783.278531 14.52880 0.03402 
 2456783.293491 14.49389 0.03342 
 2456783.310863 14.51825 0.03311 
 2456783.330346 14.51494 0.03286 
 2456783.350513 14.48210 0.03166 
 2456785.218705 14.54943 0.04258 
 2456785.225727 14.49160 0.04275 
 2456786.219955 14.52510 0.04342 
 2456786.224728 14.53875 0.04272 
 2456786.234882 14.49546 0.04231 
 2456786.245029 14.52079 0.04036 
 2456786.256160 14.49923 0.03996 
 2456786.266260 14.47308 0.03984 
 2456786.276420 14.56301 0.03862 
 2456786.286537 14.48976 0.03914 
 2456794.263988 14.54065 0.05114 
 2456794.281004 14.51342 0.04917 
 2456795.216218 14.47281 0.03995 
 2456795.249598 14.49830 0.03563 
 2456795.266676 14.51004 0.03469 
 2456795.286069 14.46051 0.03835 
 2456795.307805 14.43450 0.04200 
 2456799.280222 14.60149 0.03382 
 2456799.301863 14.60496 0.02612 
 2456800.213037 14.52333 0.03855 
 2456800.245012 14.46603 0.03389 
 2456800.264478 14.50621 0.03615 
 2456800.286150 14.52720 0.03007 
 2456800.305523 14.52081 0.02936 
 2456801.209852 14.66212 0.04337 
 2456801.243591 14.62665 0.04551 
 2456801.264475 14.58524 0.03097 
 2456801.286603 14.54160 0.03055 
 2456801.305889 14.52280 0.02981 
 2456802.262631 14.55541 0.03096 
 2456802.288491 14.52326 0.03013 
 2456803.211934 14.44273 0.03669 
 2456803.260941 14.52143 0.03156 
 2456803.284917 14.57766 0.03772 
 2456805.228722 14.51139 0.03644 
 2456805.248147 14.50062 0.03466 
 2456805.269641 14.53983 0.03523 
 2456807.209681 14.52146 0.03067 
 2456807.216548 14.54875 0.03446 
 2456807.233403 14.57463 0.02972 
 2456808.268373 14.48792 0.03502 
 2456809.208672 14.51293 0.03493 
 2456809.215420 14.49448 0.03384 
 2456809.232403 14.54057 0.03419 
 2456809.249398 14.55654 0.03373 
 2456809.270924 14.54757 0.03378 
 2456812.210212 14.52906 0.03291 
 2456812.219364 14.48620 0.03275 
 2456812.236887 14.50645 0.03076 
 2456812.256364 14.51890 0.03006 
 2456815.248065 14.50140 0.03637 
 2456815.258103 14.43783 0.03916 
 2456815.268307 14.46631 0.03979 
 2456820.209580 14.47913 0.06458 
 2456820.214165 14.44722 0.06468 
 2456820.228951 14.52565 0.06480 
 2456820.243834 14.47020 0.06490 
 2456821.209073 14.53611 0.06938 
 2456821.213634 14.46488 0.06672 
 2456821.228445 14.48334 0.06693 
 2456822.209250 14.75243 0.06025 
 2456822.216078 14.69115 0.06222 
 2456822.235481 14.80351 0.06512 
 2456825.231018 14.54140 0.03043 
 2456825.240376 14.53715 0.03123 
 2456826.231180 14.51737 0.03107 
 2456828.211296 14.50174 0.03135 
 2456828.220545 14.56892 0.03178 
 2456831.211971 14.50999 0.03554 
 2456831.221210 14.49230 0.03837 
 2456832.214706 14.50448 0.03419 
 2456833.211513 14.53148 0.03283 
 2457014.562933 14.57196 0.03439 
 2457015.587690 14.54571 0.03726 
 2457016.556403 14.58664 0.03573 
 2457026.533157 14.59731 0.06080 
 2457026.553112 14.65302 0.05650 
 2457026.572282 14.53324 0.05299 
 2457027.552468 14.50732 0.05941 
 2457032.521732 14.66758 0.04708 
 2457032.534194 14.63375 0.04654 
 2457033.526870 14.57465 0.04319 
 2457033.561046 14.55839 0.04152 
 2457033.580772 14.51723 0.04092 
 2457039.522584 14.56513 0.03547 
 2457039.540463 14.55439 0.03628 
 2457041.490171 14.55592 0.03414 
 2457041.516479 14.60203 0.03317 
 2457041.538189 14.52259 0.03183 
 2457041.560131 14.54681 0.03176 
 2457044.497045 14.55662 0.02962 
 2457044.574771 14.59723 0.03103 
 2457055.451561 14.57348 0.05553 
 2457055.466273 14.56564 0.05500 
 2457055.480879 14.49014 0.05662 
 2457055.495498 14.58891 0.05354 
 2457055.510180 14.55923 0.05197 
 2457056.495307 14.52927 0.05462 
 2457056.518558 14.53435 0.05515 
 2457058.442967 14.57418 0.07001 
 2457060.494738 14.53118 0.05162 
 2457069.412281 14.53623 0.03272 
 2457070.466554 14.53287 0.03338 
 2457070.544848 14.50879 0.03468 
 2457073.489651 14.54902 0.02907 
 2457073.516394 14.53016 0.03077 
 2457074.519622 14.56524 0.02215 
 2457075.447152 14.52963 0.03124 
 2457076.391932 14.54015 0.03450 
 2457076.418252 14.57675 0.03217 
 2457076.457740 14.57502 0.03043 
 2457077.509704 14.55372 0.03101 
 2457084.375704 14.53475 0.05260 
 2457084.388195 14.59276 0.05061 
 2457084.400637 14.52216 0.05045 
 2457084.412987 14.60485 0.04938 
 2457084.425403 14.55771 0.04884 
