\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454094.721536 15.31940 0.02030 
 2454094.727106 15.35049 0.02182 
 2454094.732677 15.37016 0.01984 
 2454094.738249 15.33779 0.02100 
 2454094.743820 15.34480 0.02119 
 2454094.746030 15.32246 0.02029 
 2454094.750756 15.35222 0.01988 
 2454094.755482 15.37245 0.02064 
 2454094.760208 15.34814 0.01988 
 2454094.764934 15.35026 0.01998 
 2454094.769694 15.32595 0.01970 
 2454094.774424 15.32953 0.02004 
 2454094.779146 15.33603 0.02130 
 2454094.783867 15.36177 0.02038 
 2454094.788588 15.32137 0.02059 
 2454095.709932 15.35630 0.02161 
 2454095.715502 15.31509 0.02206 
 2454095.721074 15.36860 0.02053 
 2454095.726648 15.34987 0.02096 
 2454095.732219 15.36210 0.01987 
 2454095.734417 15.33202 0.01981 
 2454095.739153 15.37025 0.02001 
 2454095.743879 15.36395 0.02072 
 2454095.748604 15.32284 0.01981 
 2454095.753330 15.33004 0.01805 
 2454095.758055 15.36584 0.01943 
 2454095.762783 15.35421 0.01948 
 2454095.767508 15.33558 0.01909 
 2454095.772229 15.33941 0.01858 
 2454095.776959 15.34969 0.01760 
 2454095.781685 15.32024 0.01875 
 2454095.786411 15.37489 0.01962 
 2454107.621477 15.36097 0.02165 
 2454107.626202 15.33367 0.02166 
 2454108.617407 15.37937 0.02105 
 2454108.622128 15.36025 0.02040 
 2454108.626849 15.35992 0.02099 
 2454108.631568 15.37751 0.02142 
 2454108.636289 15.35118 0.02088 
 2454108.641009 15.38785 0.02111 
 2454108.645729 15.34989 0.02098 
 2454108.650447 15.35363 0.02070 
