\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455659.631138 14.05965 0.02238 
 2455659.647355 14.12233 0.02224 
 2455659.651776 14.18086 0.02140 
 2455659.656214 14.12615 0.02224 
 2455659.660638 14.11826 0.02567 
 2455660.624491 14.09896 0.01329 
 2455660.640677 14.10359 0.02794 
 2455660.654694 14.14784 0.02322 
 2455660.659145 14.16395 0.02391 
 2455661.611559 14.06762 0.02158 
 2455661.625614 14.09310 0.02237 
 2455661.641912 14.12615 0.02382 
 2455661.655931 14.08617 0.02472 
 2455661.660383 14.15321 0.02687 
 2455664.644775 14.09973 0.02390 
 2455664.649188 14.11658 0.02326 
 2455664.653640 14.10952 0.02475 
 2455664.660526 14.05334 0.02612 
 2455666.598197 14.07579 0.02381 
 2455666.612141 14.10521 0.02383 
 2455666.628204 14.10894 0.02342 
 2455666.642045 14.08604 0.02210 
 2455682.554146 14.09382 0.02510 
 2455682.568167 14.09729 0.02334 
 2455682.584443 14.11797 0.02364 
 2455682.598354 14.12126 0.02403 
 2455682.612445 14.09240 0.02468 
 2455682.624083 14.11373 0.02788 
 2455682.640089 14.11855 0.02645 
 2455692.510828 14.13822 0.02159 
 2455692.532257 14.06043 0.02439 
 2455692.548349 14.07099 0.02452 
 2455692.564527 14.09963 0.02451 
 2455692.578433 14.08709 0.02637 
 2455692.590093 14.09891 0.02615 
 2455692.604007 14.12330 0.02689 
 2455692.620072 14.11881 0.03054 
 2455693.525982 14.09357 0.02325 
 2455693.540046 14.03251 0.02326 
 2455693.556282 14.07503 0.02309 
 2455693.570225 14.08220 0.02282 
 2455693.581878 14.09912 0.02357 
 2455693.595785 14.10704 0.02478 
 2455693.611813 14.09128 0.02518 
 2455694.517727 14.11971 0.02537 
 2455694.531772 14.09643 0.02232 
 2455694.547893 14.09412 0.02300 
 2455694.561851 14.09253 0.02470 
 2455694.575800 14.10952 0.02492 
 2455694.587453 14.16362 0.02618 
 2455694.601374 14.09417 0.02519 
 2455695.501917 14.09726 0.03091 
 2455695.521091 14.11725 0.03009 
 2455695.532828 14.14972 0.02938 
 2455695.546746 14.10266 0.02725 
 2455695.560664 14.06108 0.02537 
 2455695.574787 14.10559 0.02249 
 2455695.586503 14.12634 0.02295 
 2455695.602604 14.12353 0.02251 
 2455713.527870 14.12089 0.01937 
 2455713.582092 14.14851 0.02111 
 2455714.449787 14.11217 0.01817 
 2455714.471194 14.08421 0.01897 
 2455714.487327 14.08375 0.01921 
 2455714.503575 14.09962 0.01978 
 2455714.517574 14.10727 0.02050 
 2455714.529258 14.10152 0.01993 
 2455714.543228 14.11357 0.02075 
 2455714.557256 14.10498 0.02066 
 2455715.447327 14.08468 0.01870 
 2455715.468660 14.07656 0.01963 
 2455715.484787 14.07977 0.01674 
 2455715.500988 14.07062 0.01912 
 2455715.514914 14.11281 0.01857 
 2455715.526627 14.13187 0.02585 
 2455715.540600 14.09856 0.01913 
 2455715.554554 14.10165 0.02085 
 2455717.457667 14.10514 0.02041 
 2455717.471778 14.04819 0.02070 
 2455717.488171 14.08490 0.02110 
 2455717.502124 14.11020 0.02061 
 2455717.516187 14.11331 0.01904 
 2455719.438440 14.10506 0.02050 
 2455719.459801 14.09132 0.02098 
 2455719.475912 14.04342 0.02140 
 2455719.492094 14.06179 0.01998 
 2455719.506047 14.15518 0.01941 
 2455719.517773 14.13012 0.02000 
 2455719.531755 14.10369 0.02084 
 2455731.405430 14.09293 0.03498 
 2455731.416704 14.10651 0.03624 
 2455731.425774 14.04995 0.03522 
 2455731.446479 14.17182 0.03494 
 2455731.451059 14.12298 0.03381 
 2455731.455665 14.17068 0.03481 
 2455731.460254 14.26996 0.03503 
 2455731.464854 14.16916 0.03493 
 2455731.469460 14.13704 0.03457 
 2455731.474055 14.15805 0.03372 
