\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s35/raw/KELT_S35_lc_027682_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri May 10, 17:31:41 2013"               
\STOP_DATE = "Thu Jun 01, 16:57:54 2017"               
\fixlen = T
\NUMRECORDS = 1386     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 28, 13:52:03 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456992.591057 13.13433 0.01248 
 2456993.588543 13.15289 0.01135 
 2456997.566643 13.13118 0.01866 
 2457006.549152 13.16166 0.01081 
 2457006.568914 13.12876 0.01103 
 2457006.580485 13.13365 0.01117 
 2457010.545221 13.14428 0.00999 
 2457010.567252 13.11745 0.01022 
 2457010.578858 13.13061 0.01036 
 2457014.526597 13.12825 0.01108 
 2457014.550781 13.13717 0.01121 
 2457014.574974 13.12908 0.01111 
 2457014.588823 13.14294 0.01177 
 2457015.516836 13.22916 0.01053 
 2457015.544111 13.27636 0.01094 
 2457016.519988 13.15348 0.01055 
 2457016.544164 13.13352 0.01099 
 2457016.568508 13.14423 0.01121 
 2457016.582402 13.16841 0.01158 
 2457032.496891 13.37104 0.01420 
 2457032.507209 13.35053 0.01456 
 2457032.524528 13.36385 0.01505 
 2457032.545466 13.37750 0.01485 
 2457033.484593 13.14251 0.01241 
 2457033.536918 13.11563 0.01321 
 2457033.563916 13.14099 0.01381 
 2457033.586056 13.13652 0.01432 
 2457033.593182 13.14145 0.01426 
 2457033.602288 13.16751 0.01556 
 2457036.450397 13.15182 0.00986 
 2457036.462913 13.13264 0.01031 
 2457036.484774 13.16644 0.01035 
 2457036.501992 13.14655 0.01065 
 2457036.516857 13.13681 0.01085 
 2457036.558598 13.15468 0.01315 
 2457038.453764 13.09814 0.01041 
 2457039.572822 13.15121 0.01225 
 2457040.524062 13.48804 0.00971 
 2457041.478130 13.10962 0.01056 
 2457041.502118 13.16894 0.01066 
 2457041.526065 13.13102 0.01080 
 2457041.552801 13.14345 0.01112 
 2457044.436048 13.13871 0.00969 
 2457044.463266 13.13001 0.00954 
 2457044.484858 13.15147 0.00950 
 2457044.565113 13.14774 0.00994 
 2457065.488206 13.19163 0.01193 
 2457069.392795 13.13183 0.00960 
 2457069.424275 13.14514 0.00937 
 2457070.483561 13.16795 0.01014 
 2457075.349629 13.13868 0.00921 
 2457075.401387 13.13214 0.00906 
 2457075.456723 13.13140 0.00949 
 2457076.379877 13.12292 0.01010 
 2457076.403878 13.10082 0.01017 
 2457076.448033 13.12593 0.00986 
 2457076.478259 13.11102 0.00973 
 2457087.412508 13.12217 0.02221 
 2457087.424948 13.13703 0.02087 
 2457087.439883 13.09128 0.02094 
 2457089.318075 13.41955 0.01371 
 2457089.339814 13.42558 0.01365 
 2457089.392996 13.47023 0.01503 
 2457089.420976 13.44671 0.01508 
 2457090.406929 13.15886 0.01457 
