\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_028632_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Mar 13, 02:12:55 2010"               
\STOP_DATE = "Tue Aug 19, 17:31:42 2014"               
\fixlen = T
\NUMRECORDS = 1954     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:15 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455694.451469 14.31546 0.03276 
 2455694.461268 14.28663 0.03236 
 2455694.471024 14.32905 0.03190 
 2455694.482888 14.28078 0.03020 
 2455694.496874 14.28377 0.03261 
 2455695.413533 14.36694 0.04265 
 2455695.420141 14.25012 0.03633 
 2455695.426775 14.27167 0.04053 
 2455695.433412 14.26192 0.03431 
 2455695.441077 14.33177 0.03630 
 2455695.446482 14.34059 0.03601 
 2455695.453993 14.29837 0.03681 
 2455695.461549 14.31094 0.03545 
 2455695.469097 14.25065 0.03504 
 2455695.478764 14.30065 0.03236 
 2455695.490555 14.30574 0.03326 
 2455714.367895 14.25945 0.02130 
 2455714.382027 14.25240 0.01461 
 2455714.393910 14.31472 0.02397 
 2455714.408032 14.29205 0.02200 
 2455714.422182 14.31882 0.02130 
 2455714.436203 14.31113 0.02227 
 2455715.365316 14.23087 0.02539 
 2455715.379441 14.20281 0.02312 
 2455715.391321 14.24660 0.02229 
 2455715.405453 14.28637 0.02149 
 2455715.419640 14.24814 0.02162 
 2455715.433717 14.25391 0.02225 
 2455716.384808 14.41557 0.04473 
 2455717.351924 14.27344 0.02707 
 2455717.366078 14.22838 0.02600 
 2455717.380255 14.26233 0.02560 
 2455717.392163 14.29933 0.02398 
 2455717.406368 14.32290 0.02315 
 2455717.422628 14.34692 0.02342 
 2455717.436670 14.32024 0.02086 
 2455718.358686 14.21463 0.02547 
 2455718.372822 14.28009 0.02196 
 2455718.384676 14.24871 0.02015 
 2455719.382553 14.29228 0.02775 
 2455719.396702 14.25966 0.02490 
 2455719.410818 14.27557 0.02472 
 2455719.424822 14.32551 0.02384 
 2455731.332910 14.20469 0.04329 
 2455731.345099 14.30168 0.04046 
 2455731.373825 14.26633 0.04009 
 2455731.385876 14.23514 0.04195 
 2455731.395920 14.30155 0.03792 
 2455733.314381 14.27100 0.02465 
 2455733.328520 14.26249 0.02320 
 2455733.340411 14.27969 0.02212 
 2455733.354597 14.25896 0.02324 
 2455733.368818 14.33557 0.02582 
 2455733.382828 14.28802 0.02835 
 2455733.396865 14.24498 0.02798 
 2455734.364284 14.57465 0.02099 
 2455734.380543 14.50254 0.02008 
 2455734.394625 14.45576 0.02211 
 2455739.294503 14.28551 0.02387 
 2455739.308744 14.24443 0.02304 
 2455739.322940 14.22447 0.02254 
 2455739.334897 14.25296 0.02262 
 2455739.349081 14.29175 0.02010 
 2455739.365409 14.27441 0.01995 
 2455739.379496 14.26897 0.01929 
 2455740.294634 14.27104 0.02288 
 2455740.308824 14.25210 0.02270 
 2455740.320752 14.26538 0.02036 
 2455740.334981 14.27196 0.02202 
 2455740.349187 14.33432 0.02169 
 2455740.363243 14.28315 0.02194 
 2455740.377278 14.29189 0.02230 
 2455743.282028 14.29706 0.02299 
 2455743.288599 14.24236 0.02180 
 2455743.302732 14.21729 0.02199 
 2455743.314596 14.27171 0.02069 
 2455743.328696 14.27513 0.02000 
 2455743.342850 14.31064 0.01970 
 2455743.356888 14.23138 0.01911 
 2455744.288299 14.21714 0.02194 
 2455744.302420 14.24450 0.02002 
 2455744.314301 14.32313 0.01983 
 2455744.328502 14.29657 0.01938 
 2455744.342620 14.31868 0.01823 
 2455744.356637 14.29140 0.01868 
 2455749.279393 14.26071 0.03158 
 2455749.314489 14.29135 0.02466 
 2455751.263973 14.31061 0.04139 
 2455751.266239 14.31274 0.03959 
 2455751.268485 14.24498 0.03517 
 2455751.270734 14.32722 0.03409 
 2455751.273005 14.38265 0.03586 
 2455751.275264 14.26716 0.03803 
 2455751.277521 14.25334 0.03712 
 2455751.279778 14.33817 0.03351 
 2455751.282048 14.21852 0.03394 
 2455751.284300 14.30738 0.03290 
 2455751.286566 14.26979 0.03311 
 2455751.288863 14.27689 0.03131 
 2455751.291124 14.29086 0.03443 
 2455751.293372 14.28977 0.03468 
 2455751.295686 14.31927 0.03622 
 2455751.297949 14.25541 0.03602 
 2455751.300205 14.25412 0.03342 
 2455751.302501 14.26869 0.03442 
 2455751.304768 14.25991 0.03506 
 2455751.309281 14.27867 0.03524 
 2455751.311539 14.28157 0.03641 
 2455751.313800 14.35104 0.03337 
 2455751.318480 14.32146 0.03376 
 2455751.323163 14.32606 0.03239 
 2455751.329975 14.28253 0.03237 
 2455751.336805 14.29570 0.03254 
