\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1670     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:40 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454108.641009 15.39174 0.02111 
 2454108.645729 15.34322 0.02098 
 2454108.650447 15.35828 0.02070 
 2454108.655167 15.35334 0.02061 
 2454108.659886 15.35192 0.02064 
 2454108.664607 15.36446 0.02100 
 2454108.678176 15.35714 0.02006 
 2454108.683740 15.34325 0.01988 
 2454108.689305 15.36897 0.02035 
 2454108.694871 15.36018 0.02039 
 2454108.700437 15.34606 0.02312 
 2454116.649074 15.32535 0.02346 
 2454116.654641 15.35638 0.02071 
 2454116.660207 15.33020 0.02080 
 2454116.665774 15.34125 0.02024 
 2454116.671340 15.32893 0.02175 
 2454116.676906 15.35983 0.02148 
 2454116.679115 15.34299 0.02063 
 2454116.683837 15.33482 0.02002 
 2454116.688560 15.35256 0.02101 
 2454116.693284 15.34085 0.02178 
 2454116.698007 15.34429 0.01900 
 2454116.702729 15.35182 0.02065 
 2454116.707450 15.32490 0.02090 
 2454116.712175 15.35566 0.02129 
 2454116.716896 15.32647 0.02005 
 2454116.721617 15.35554 0.01797 
 2454116.726339 15.32799 0.01974 
 2454116.731060 15.32759 0.01910 
 2454117.600133 15.37240 0.02167 
 2454117.604863 15.31388 0.02361 
 2454117.609592 15.32498 0.02360 
 2454117.614319 15.32315 0.02248 
 2454117.619047 15.34560 0.02176 
 2454117.623772 15.35175 0.02079 
 2454117.628499 15.32354 0.02250 
 2454117.633226 15.34350 0.02147 
 2454117.640234 15.36033 0.02036 
 2454117.644964 15.38500 0.02260 
 2454117.649694 15.35007 0.01997 
 2454117.655269 15.36302 0.02047 
 2454117.660841 15.34872 0.01962 
 2454117.666417 15.35686 0.02065 
 2454117.668624 15.34070 0.01989 
 2454117.673359 15.34002 0.02119 
 2454117.678089 15.33618 0.02128 
 2454117.687549 15.35347 0.01945 
 2454117.701737 15.38129 0.01912 
 2454117.711195 15.32382 0.01926 
 2454117.715922 15.33903 0.02007 
 2454124.685836 15.41910 0.02121 
 2454124.690567 15.41279 0.02164 
 2454124.695297 15.41134 0.02121 
 2454124.700028 15.39045 0.02149 
 2454124.704758 15.41717 0.02118 
 2454124.709487 15.36726 0.02177 
 2454140.605517 15.35314 0.01978 
 2454140.610244 15.34478 0.01922 
 2454140.614971 15.37568 0.01978 
 2454140.619698 15.35691 0.01907 
 2454140.624425 15.36341 0.01877 
 2454140.629152 15.36637 0.01773 
 2454140.633879 15.36199 0.01758 
 2454140.638606 15.34129 0.01877 
 2454140.643331 15.33998 0.01992 
 2454140.648051 15.32434 0.01944 
 2454140.652777 15.35341 0.01859 
 2454140.657510 15.37073 0.01791 
 2454140.662236 15.34832 0.01842 
 2454147.608995 15.34096 0.02230 
 2454147.613723 15.36380 0.02140 
 2454147.623176 15.33693 0.02171 
 2454147.637361 15.38150 0.02056 
 2454147.642089 15.36898 0.02065 
 2454147.646817 15.33299 0.02044 
 2454148.609685 15.36556 0.02163 
 2454148.614413 15.35983 0.01883 
 2454148.619142 15.35678 0.01930 
 2454148.623868 15.32400 0.01988 
 2454148.628598 15.33141 0.01956 
 2454148.633325 15.33421 0.01863 
 2454148.638053 15.32471 0.01945 
 2454148.642780 15.35970 0.01940 
 2454152.611786 15.34695 0.02026 
 2454152.616514 15.36127 0.02030 
 2454152.621239 15.37557 0.01912 
 2454152.625965 15.35084 0.01930 
 2454152.630692 15.34760 0.01933 
 2454362.919918 15.35673 0.01955 
 2454362.924616 15.36796 0.01987 
 2454362.929315 15.33986 0.01958 
 2454362.934010 15.37494 0.01785 
 2454362.938700 15.34607 0.01814 
 2454362.943406 15.35266 0.01946 
 2454362.948103 15.36291 0.01935 
 2454362.952802 15.35653 0.01656 
 2454362.957491 15.34239 0.01650 
 2454363.915932 15.34828 0.01864 
 2454363.920637 15.34874 0.01821 
 2454363.925343 15.36022 0.01833 
 2454363.930050 15.36055 0.01860 
 2454363.934756 15.34952 0.01839 
 2454363.939464 15.37086 0.01792 
 2454363.944171 15.35030 0.01813 
 2454363.948877 15.35342 0.01866 
 2454363.953583 15.39785 0.01845 
 2454363.958290 15.33112 0.01890 
 2454363.962998 15.36463 0.01772 
 2454363.967696 15.37797 0.01915 
 2454363.972411 15.35346 0.01787 
 2454363.977962 15.35665 0.01833 
 2454363.983515 15.34809 0.01813 
 2454363.989069 15.35765 0.01851 
 2454363.994620 15.36475 0.01859 
 2454363.996820 15.32882 0.01823 
 2454378.965419 15.41555 0.02118 
 2454378.967617 15.39924 0.01997 
 2454378.969814 15.40011 0.01976 
 2454378.976412 15.39945 0.02092 
 2454378.978610 15.39868 0.02178 
 2454378.980809 15.38311 0.01997 
 2454378.983007 15.42452 0.01847 
 2454378.985206 15.43905 0.01987 
 2454378.987405 15.44109 0.02048 
 2454378.989603 15.43952 0.01971 
 2454378.991801 15.43571 0.01990 
 2454379.881112 15.36980 0.01980 
 2454379.885819 15.35702 0.02020 
 2454379.890525 15.32492 0.02106 
 2454379.895230 15.35916 0.02084 
 2454379.899935 15.34362 0.02077 
 2454379.904640 15.35516 0.02098 
 2454379.909345 15.38680 0.02102 
 2454379.914051 15.35131 0.02057 
 2454379.918758 15.34205 0.02127 
 2454379.923465 15.30780 0.02016 
 2454379.928171 15.32279 0.02065 
 2454379.932876 15.35595 0.02198 
 2454379.938429 15.32675 0.01959 
 2454379.943980 15.34759 0.01996 
 2454379.946180 15.33179 0.02055 
 2454379.948381 15.30246 0.02033 
 2454379.950580 15.33558 0.01963 
 2454379.952780 15.37685 0.01899 
 2454379.954981 15.34316 0.01932 
 2454379.957181 15.33178 0.01925 
 2454379.959381 15.32970 0.02024 
 2454379.961581 15.33497 0.01998 
 2454379.963781 15.36279 0.01955 
 2454379.965983 15.34840 0.01894 
 2454379.968182 15.34296 0.01904 
 2454379.970382 15.34013 0.01975 
 2454379.972584 15.32979 0.01997 
 2454379.974778 15.34247 0.02022 
 2454379.976986 15.35189 0.01988 
 2454379.979187 15.32792 0.01892 
 2454379.981387 15.34262 0.01868 
 2454379.983587 15.36057 0.01944 
 2454379.985788 15.33615 0.01939 
 2454379.987989 15.33166 0.01997 
 2454379.990190 15.34700 0.01898 
 2454380.911628 15.34240 0.02208 
 2454380.916334 15.34871 0.02127 
 2454380.921033 15.35061 0.01798 
 2454380.931298 15.32255 0.02317 
 2454380.936849 15.32053 0.02204 
 2454380.939049 15.34356 0.02165 
 2454380.943755 15.32486 0.02095 
 2454380.948462 15.36401 0.02098 
 2454380.953168 15.33648 0.02001 
 2454380.957874 15.34137 0.02211 
 2454380.962581 15.33926 0.02239 
 2454380.967288 15.32996 0.02300 
 2454380.971995 15.35779 0.02317 
 2454380.976701 15.37368 0.02185 
 2454380.981408 15.36606 0.02143 
 2454380.986115 15.35391 0.02181 
 2454380.990822 15.33379 0.02051 
 2454380.995528 15.35451 0.02151 
 2454381.866454 15.34218 0.02081 
 2454381.899363 15.34829 0.02101 
 2454381.904066 15.32865 0.02080 
 2454381.908768 15.34349 0.01995 
 2454381.913470 15.34885 0.02148 
 2454381.918172 15.33144 0.01913 
 2454381.922874 15.33157 0.02065 
 2454381.928423 15.31695 0.01933 
 2454381.933973 15.34389 0.01964 
 2454381.939522 15.36495 0.01971 
 2454381.941720 15.33306 0.02002 
 2454381.946424 15.34926 0.01820 
 2454381.951126 15.36173 0.01892 
 2454381.955823 15.34764 0.01876 
 2454381.960531 15.35715 0.01798 
 2454381.965230 15.34862 0.01941 
 2454381.969932 15.35916 0.01808 
 2454381.974632 15.37109 0.01799 
 2454381.979332 15.37141 0.01878 
 2454381.984031 15.37163 0.01925 
 2454381.988731 15.41813 0.01944 
 2454381.993433 15.42199 0.01840 
 2454381.998134 15.44372 0.01867 
 2454382.863117 15.33691 0.02085 
 2454382.867834 15.37080 0.02006 
 2454382.872540 15.34714 0.01904 
 2454382.877236 15.37361 0.01928 
 2454382.881949 15.35755 0.01888 
 2454382.886656 15.34351 0.01830 
 2454382.891363 15.35843 0.01863 
